id,label
18001,0
18002,0
18003,0
18004,0
18005,0
18006,0
18007,0
18008,0
18009,1
18010,1
18011,0
18012,0
18013,0
18014,0
18015,1
18016,0
18017,0
18018,0
18019,0
18020,0
18021,0
18022,0
18023,0
18024,0
18025,1
18026,0
18027,1
18028,1
18029,1
18030,1
18031,0
18032,1
18033,0
18034,0
18035,1
18036,0
18037,1
18038,1
18039,0
18040,0
18041,0
18042,0
18043,1
18044,0
18045,1
18046,0
18047,0
18048,1
18049,0
18050,1
18051,1
18052,0
18053,0
18054,0
18055,0
18056,0
18057,0
18058,1
18059,1
18060,1
18061,0
18062,0
18063,0
18064,0
18065,0
18066,0
18067,0
18068,0
18069,0
18070,0
18071,0
18072,0
18073,1
18074,0
18075,1
18076,1
18077,0
18078,1
18079,1
18080,1
18081,1
18082,1
18083,0
18084,1
18085,0
18086,1
18087,1
18088,0
18089,1
18090,1
18091,0
18092,1
18093,1
18094,1
18095,0
18096,0
18097,0
18098,0
18099,0
18100,0
